dataset_key,dataset_name,model_key,model_name,fold,feature,mean_abs_shap,rank
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadAngina,0.03442611508842338,1
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,ChestScan,0.02810121392712694,2
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,RemovedTeeth_None_of_them,0.01887384828251437,3
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,Sex,0.011173929376560265,4
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,DifficultyWalking,0.009244711325862449,5
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadArthritis,0.009112169636995947,6
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,GeneralHealth_Excellent,0.007931982747686715,7
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadStroke,0.006212108724569165,8
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadDiabetes_Yes,0.005660451995422287,9
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,GeneralHealth_Very_good,0.0046207127258298016,10
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,AgeCategory_Age_80_or_older,0.004523770071811065,11
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,SmokerStatus_Never_smoked,0.0027017149042766336,12
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,AgeCategory_Age_18_to_24,0.002142711761375967,13
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadCOPD,0.0020264990022205885,14
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,RemovedTeeth_All,0.0019118843901486716,15
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,AgeCategory_Age_25_to_29,0.001304107998858368,16
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,GeneralHealth_Fair,0.0009584641589057959,17
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,GeneralHealth_Poor,0.0007906780250773816,18
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,AgeCategory_Age_30_to_34,0.0006223717292782984,19
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,PhysicalHealthDays,0.0,20
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,MentalHealthDays,0.0,21
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,SleepHours,0.0,22
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HeightInMeters,0.0,23
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,WeightInKilograms,0.0,24
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,BMI,0.0,25
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,PhysicalActivities,0.0,26
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadAsthma,0.0,27
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadSkinCancer,0.0,28
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadDepressiveDisorder,0.0,29
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HadKidneyDisease,0.0,30
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,DeafOrHardOfHearing,0.0,31
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,BlindOrVisionDifficulty,0.0,32
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,DifficultyConcentrating,0.0,33
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,DifficultyDressingBathing,0.0,34
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,DifficultyErrands,0.0,35
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,AlcoholDrinkers,0.0,36
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HIVTesting,0.0,37
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,FluVaxLast12,0.0,38
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,PneumoVaxEver,0.0,39
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,HighRiskLastYear,0.0,40
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Alabama,0.0,41
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Alaska,0.0,42
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Arizona,0.0,43
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Arkansas,0.0,44
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_California,0.0,45
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Colorado,0.0,46
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Connecticut,0.0,47
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Delaware,0.0,48
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_District_of_Columbia,0.0,49
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Florida,0.0,50
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Georgia,0.0,51
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Guam,0.0,52
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Hawaii,0.0,53
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Idaho,0.0,54
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Illinois,0.0,55
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Indiana,0.0,56
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Iowa,0.0,57
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Kansas,0.0,58
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Kentucky,0.0,59
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Louisiana,0.0,60
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Maine,0.0,61
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Maryland,0.0,62
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Massachusetts,0.0,63
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Michigan,0.0,64
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Minnesota,0.0,65
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Mississippi,0.0,66
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Missouri,0.0,67
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,1,State_Montana,0.0,68
